Date,Time Period,Geography,Indicator,Value,Unit,Series Code
2021-12-31,2021Q4,SSM,Net interest margin,1.21,Percent,SUP.Q.B01.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,SSM,Liquidity coverage ratio,173.43,Percent,SUP.Q.B01.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,SSM,CET1 (Common equity Tier 1) ratio,15.60,Percent,SUP.Q.B01.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,SSM,Non-performing loans ratio (excl. cash balances),2.61,Percent,SUP.Q.B01.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,SSM,Stage 2 loans ratio,9.14,Percent,SUP.Q.B01.W0._Z.I7500._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Germany,Loan-to-deposit ratio,126.15,Percent,SUP.Q.DE.W0.S1V.KFD32._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Germany,Total assets,4336.9480,EUR billions,SUP.Q.DE.W0._Z.A0000._T.SII._Z.ALL.LE.E.C
2021-12-31,2021Q4,Germany,Return on equity (RoE),4.10,Percent,SUP.Q.DE.W0._Z.I2003._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Germany,Cost of risk,0.22,Percent,SUP.Q.DE.W0._Z.I2110._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Germany,Net interest margin,0.88,Percent,SUP.Q.DE.W0._Z.I2120._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Germany,Liquidity coverage ratio,162.54,Percent,SUP.Q.DE.W0._Z.I3017._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Germany,CET1 (Common equity Tier 1) ratio,15.50,Percent,SUP.Q.DE.W0._Z.I4008._T.SII._Z._Z._Z.PCT.C
2021-12-31,2021Q4,Germany,Non-performing loans ratio (excl. cash balances),1.35,Percent,SUP.Q.DE.W0._Z.I7005._T.SII._Z._Z._Z.PCT.C
